Timestamp,CupState,CurrentWeight,EmergencyStop,FanOn,HeatCoverClosed,HeaterOn,HeatingTimePercent,PotAvailable,Produce,ScaleCupDown,ScaleCupUp,SwitchToPot,TrackSwitchAtCup,TrackSwitchAtPot,TurnScaleCup
1.51636E+12,1,0.61577934,1,1,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,0,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,0,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,1,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,1,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,1,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,1,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,1,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,1,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,1,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,2,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,2,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,2,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,2,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,2,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,2,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,3,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,3,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,3,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,3,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,3,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,3,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,3,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,4,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,4,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,4,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,4,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,4,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,4,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,5,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,5,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,5,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,5,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,5,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,5,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,6,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,7,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,7,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,7,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,8,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,8,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,8,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,8,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,8,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,8,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,8,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,9,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,9,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,9,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,9,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,9,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,9,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,10,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,10,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,10,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,10,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,10,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,10,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,10,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,11,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,11,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,11,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,11,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,1,1,1,11,1,0,0,1,0,1,0,0
1.51636E+12,1,0.153944835,1,1,1,1,11,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,1,1,1,12,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,1,1,1,12,1,0,0,1,0,1,0,0
1.51636E+12,1,0,1,1,1,1,12,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,12,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,12,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,12,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,13,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,13,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,13,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,13,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,13,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,13,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,14,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,14,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,14,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,14,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,14,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,14,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,14,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,15,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,15,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,15,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,15,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,15,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,15,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,16,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,16,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,16,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,16,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,16,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,16,1,0,0,1,0,1,0,0
1.51636E+12,1,0.492623478,1,1,1,1,16,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,17,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,17,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,17,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,17,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,17,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,17,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,18,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,18,1,0,0,1,0,1,0,0
1.51636E+12,1,0.061577931,1,1,1,1,18,1,0,0,1,0,1,0,0
1.51636E+12,1,0.153944835,1,1,1,1,18,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,1,1,1,18,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,18,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,18,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,19,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,19,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,19,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,19,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,19,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,19,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,20,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,20,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,20,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,20,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,20,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,20,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,21,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,21,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,21,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,21,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,21,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,21,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,21,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,22,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,22,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,22,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,22,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,22,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,22,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,23,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,23,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,23,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,23,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,23,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,23,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,23,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,24,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,24,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,24,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,24,1,0,0,1,0,1,0,0
1.51636E+12,1,0,1,1,1,1,24,1,0,0,1,0,1,0,0
1.51636E+12,1,0.061577931,1,1,1,1,24,1,0,0,1,0,1,0,0
1.51636E+12,1,0,1,1,1,1,25,1,0,0,1,0,1,0,0
1.51636E+12,1,0.123155862,1,1,1,1,25,1,0,0,1,0,1,0,0
1.51636E+12,1,0.092366897,1,1,1,1,25,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,25,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,25,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,25,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,25,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,26,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,26,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,26,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,26,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,26,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,26,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,27,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,27,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,27,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,27,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,27,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,27,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,28,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,28,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,28,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,28,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,28,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,28,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,29,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,29,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,29,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,29,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,29,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,29,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,29,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,30,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,30,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,30,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,30,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,30,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,30,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,31,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,31,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,31,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,31,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,31,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,31,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,31,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,32,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,32,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,32,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,32,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,32,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,32,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,33,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,33,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,33,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,33,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,33,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,33,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,33,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,34,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,34,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,34,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,34,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,34,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,34,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,35,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,35,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,35,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,35,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,35,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,35,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,36,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,36,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,36,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,36,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,36,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,36,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,36,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,37,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,37,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,37,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,37,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,37,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,37,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,38,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,38,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,38,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,38,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,38,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,38,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,38,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,39,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,39,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,39,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,39,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,39,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,39,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,40,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,40,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,40,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,40,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,40,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,40,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,40,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,41,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,41,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,41,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,41,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,41,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,41,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,42,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,42,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,42,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,42,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,42,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,42,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,43,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,43,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,43,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,43,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,43,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,43,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,44,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,44,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,44,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,44,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,44,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,44,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,44,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,45,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,45,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,45,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,45,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,45,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,45,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,46,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,46,1,0,0,1,0,1,0,0
1.51636E+12,1,0.523412466,1,1,1,1,46,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,46,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,46,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,46,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,46,1,0,0,1,0,1,0,0
1.51636E+12,1,0.492623478,1,1,1,1,47,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,47,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,47,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,47,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,47,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,47,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,48,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,48,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,48,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,48,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,48,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,48,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,48,1,0,0,1,0,1,0,0
1.51636E+12,1,0.554201365,1,1,1,1,49,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,49,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,49,1,0,0,1,0,1,0,0
1.51636E+12,1,0.646568298,1,1,1,1,49,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,49,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,49,1,0,0,1,0,1,0,0
1.51636E+12,1,0.677357316,1,1,1,1,50,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,50,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,50,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,50,1,0,0,1,0,1,0,0
1.51636E+12,1,0.677357316,1,1,1,1,50,1,0,0,1,0,1,0,0
1.51636E+12,1,0.584990382,1,1,1,1,50,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,51,1,0,0,1,0,1,0,0
1.51636E+12,1,0.61577934,1,1,1,1,51,1,0,0,1,0,1,0,0
